MAT_whittaker,MAP_whittaker
29.3365,1930.8683
29.3357,1936.9565
29.3349,1943.0446
29.3341,1949.1328
29.3333,1955.2209
29.3325,1961.3091
29.3317,1967.3972
29.3309,1973.4854
29.3301,1979.5735
29.3293,1985.6616
29.3285,1991.7498
29.3277,1997.8378
29.3269,2003.9261
29.3261,2010.0142
29.3253,2016.1024
29.3245,2022.1905
29.263,2028.1904
29.2622,2034.2785
29.2614,2040.3667
29.2606,2046.4548
29.2598,2052.543
29.259,2058.6311
29.2582,2064.7193
29.2574,2070.8074
29.2566,2076.8956
29.2558,2082.9837
29.255,2089.0719
29.2542,2095.16
29.2534,2101.2481
29.2526,2107.3363
29.2518,2113.4243
29.251,2119.5126
29.2502,2125.6007
29.2494,2131.6888
29.2486,2137.777
29.2478,2143.8652
29.2469,2149.9533
29.2462,2156.0415
29.2454,2162.1296
29.2446,2168.2177
29.2438,2174.3059
29.2429,2180.394
29.2422,2186.4822
29.2414,2192.5703
29.1799,2198.5702
29.1791,2204.6583
29.1783,2210.7465
29.1775,2216.8346
29.1767,2222.9228
29.1759,2229.0109
29.1751,2235.0991
29.1743,2241.1872
29.1735,2247.2753
29.1727,2253.3635
29.1719,2259.4517
29.1711,2265.5398
29.1703,2271.628
29.1695,2277.7161
29.1687,2283.8042
29.1679,2289.8923
29.1671,2295.9805
29.1663,2302.0687
29.1655,2308.1568
29.1647,2314.245
29.1639,2320.3331
29.1631,2326.4213
29.1623,2332.5093
29.1615,2338.5976
29.1,2344.5974
29.0992,2350.6856
29.0984,2356.7737
29.0976,2362.8618
29.0968,2368.95
29.096,2375.0382
29.0952,2381.1263
29.0944,2387.2144
29.0936,2393.3026
29.0928,2399.3907
29.092,2405.4788
29.0912,2411.567
29.0904,2417.6552
29.0896,2423.7433
29.0888,2429.8315
29.088,2435.9196
29.0872,2442.0078
29.0864,2448.0959
29.0856,2454.184
29.0848,2460.2722
29.084,2466.3603
29.0832,2472.4485
29.0824,2478.5366
29.0816,2484.6248
29.0808,2490.7128
29.08,2496.8011
29.0792,2502.8892
29.0784,2508.9774
29.0169,2514.9771
28.9562,2514.889
29.0161,2521.0654
29.0153,2527.1535
29.0145,2533.2417
29.0137,2539.3298
29.0129,2545.418
29.0121,2551.5061
29.0113,2557.5943
29.0105,2563.6824
29.0097,2569.7705
29.0089,2575.8587
29.0081,2581.9468
29.0073,2588.035
29.0065,2594.1231
29.0057,2600.2113
29.0049,2606.2993
29.0041,2612.3876
29.0033,2618.4757
29.0025,2624.5638
29.0017,2630.652
29.0009,2636.7401
29.0001,2642.8283
28.9992,2648.9163
28.9985,2655.0046
28.9977,2661.0927
28.9969,2667.1809
28.9961,2673.269
28.9952,2679.3572
28.9945,2685.4453
28.933,2691.4452
28.9322,2697.5333
28.9314,2703.6215
28.9306,2709.7096
28.9298,2715.7978
28.929,2721.8859
28.9282,2727.9741
28.9274,2734.0622
28.9266,2740.1504
28.9258,2746.2385
28.925,2752.3266
28.9242,2758.4148
28.9234,2764.5029
28.9226,2770.5911
28.9218,2776.6792
28.921,2782.7673
28.9202,2788.8555
28.9194,2794.9437
28.9186,2801.0318
28.9178,2807.12
28.917,2813.2081
28.9162,2819.2962
28.9154,2825.3844
28.9146,2831.4725
28.9138,2837.5607
28.913,2843.6488
28.9122,2849.737
28.9114,2855.8251
28.8498,2861.825
28.8491,2867.9131
28.8483,2874.0013
28.8475,2880.0894
28.8467,2886.1776
28.8458,2892.2657
28.8451,2898.3538
28.8443,2904.442
28.8435,2910.5302
28.8427,2916.6183
28.8418,2922.7065
28.8411,2928.7946
28.8403,2934.8827
28.8395,2940.9708
28.8387,2947.059
28.8378,2953.1472
28.8371,2959.2353
28.8363,2965.3235
28.8355,2971.4116
28.8347,2977.4998
28.8338,2983.5878
28.8331,2989.6761
28.8323,2995.7642
28.8315,3001.8523
28.8307,3007.9405
28.8298,3014.0286
28.8291,3020.1168
28.8283,3026.2049
28.8275,3032.2931
28.8267,3038.3812
28.8258,3044.4694
28.8251,3050.5575
28.7635,3056.5574
28.7628,3062.6455
28.762,3068.7337
28.7612,3074.8218
28.7604,3080.91
28.7596,3086.9981
28.7588,3093.0863
28.758,3099.1743
28.7572,3105.2625
28.7564,3111.3507
28.7556,3117.4388
28.7548,3123.527
28.754,3129.6151
28.6926,3135.615
28.6918,3141.7032
28.6909,3147.7913
28.6902,3153.8794
28.6894,3159.9676
28.6885,3166.0557
28.6877,3172.1439
28.6869,3178.232
28.6861,3184.3202
28.6853,3190.4083
28.6844,3196.4965
28.6837,3202.5846
28.6829,3208.6728
28.6821,3214.7609
28.6813,3220.849
28.6804,3226.9372
28.6797,3233.0253
28.6789,3239.1135
28.6781,3245.2016
28.6167,3251.2015
28.6159,3257.2897
28.6151,3263.3778
28.6143,3269.4659
28.6135,3275.5541
28.6127,3281.6421
28.6118,3287.7304
28.6111,3293.8185
28.6103,3299.9066
28.6095,3305.9948
28.548,3311.9947
28.5472,3318.0828
28.5464,3324.171
28.5455,3330.2591
28.5448,3336.3473
28.544,3342.4354
28.5432,3348.5236
28.5424,3354.6117
28.5415,3360.6999
28.5408,3366.788
28.54,3372.8761
28.5392,3378.9643
28.5384,3385.0524
28.4769,3391.0523
28.4761,3397.1405
28.4753,3403.2286
28.4745,3409.3168
28.4737,3415.4049
28.4729,3421.4931
28.4721,3427.5812
28.4713,3433.6693
28.4705,3439.7574
28.4697,3445.8456
28.4082,3451.8455
28.4074,3457.9337
28.4066,3464.0218
28.4058,3470.11
28.405,3476.1981
28.4042,3482.2862
28.4034,3488.3744
28.4026,3494.4625
28.3411,3500.4624
28.3403,3506.5506
28.3395,3512.6387
28.3387,3518.7269
28.3378,3524.815
28.3371,3530.9031
28.3363,3536.9912
28.3355,3543.0794
28.3347,3549.1676
28.3338,3555.2557
28.3331,3561.3439
28.3323,3567.432
28.2709,3573.4319
28.2701,3579.52
28.2692,3585.6082
28.2685,3591.6963
28.2677,3597.7845
28.2669,3603.8726
28.2661,3609.9607
28.2046,3615.9606
28.2038,3622.0488
28.203,3628.1369
28.2022,3634.2251
28.2014,3640.3132
28.2006,3646.4014
28.1998,3652.4895
28.199,3658.5777
28.1982,3664.6658
28.1974,3670.754
28.1359,3676.7538
28.1351,3682.842
28.1343,3688.9301
28.1335,3695.0183
28.1327,3701.1064
28.1319,3707.1945
28.1311,3713.2827
28.0695,3719.2826
28.0688,3725.3707
28.068,3731.4588
28.0672,3737.547
28.0664,3743.6352
28.0656,3749.7233
28.0648,3755.8115
28.064,3761.8996
28.0025,3767.8995
28.0017,3773.9876
28.0009,3780.0758
28.0001,3786.1639
27.9386,3792.1638
27.9379,3798.252
27.9371,3804.3401
27.9363,3810.4282
27.9355,3816.5164
27.9346,3822.6045
27.8732,3828.6044
27.8723,3834.6926
27.8716,3840.7807
27.8708,3846.8689
27.87,3852.9569
27.8692,3859.0451
27.8683,3865.1333
27.8069,3871.1332
27.8061,3877.2213
27.8053,3883.3094
27.8045,3889.3976
27.8037,3895.4858
27.7422,3901.4856
27.7414,3907.5737
27.7406,3913.6619
27.7398,3919.7501
27.7389,3925.8382
27.7382,3931.9264
27.7374,3938.0145
27.6759,3944.0144
27.6751,3950.1025
27.6743,3956.1907
27.6735,3962.2788
27.612,3968.2787
27.6113,3974.3669
27.6105,3980.455
27.6097,3986.5431
27.6089,3992.6313
27.608,3998.7194
27.5466,4004.7193
27.5457,4010.8075
27.545,4016.8956
27.5442,4022.9838
27.4827,4028.9836
27.4819,4035.0718
27.4811,4041.1599
27.4803,4047.2481
27.4188,4053.248
27.418,4059.3361
27.4172,4065.4242
27.4163,4071.5124
27.3549,4077.5123
27.3541,4083.6004
27.3533,4089.6886
27.3525,4095.7767
27.2911,4101.7766
27.2903,4107.8647
27.2894,4113.9529
27.2887,4120.041
27.2879,4126.1292
27.2264,4132.1291
27.2256,4138.2172
27.2248,4144.3053
27.224,4150.3935
27.1625,4156.3934
27.1617,4162.4815
27.1609,4168.5697
27.1601,4174.6578
27.1593,4180.7459
27.0977,4186.7458
27.097,4192.834
27.0962,4198.9221
27.0348,4204.922
27.034,4211.0101
27.0332,4217.0983
26.9717,4223.0982
26.9708,4229.1863
26.9701,4235.2745
26.9693,4241.3626
26.9078,4247.3625
26.907,4253.4506
26.9062,4259.5388
26.9054,4265.6269
26.8439,4271.6268
26.8431,4277.7149
26.8423,4283.8031
26.8415,4289.8912
26.78,4295.8911
26.7792,4301.9792
26.7784,4308.0674
26.717,4314.0673
26.7162,4320.1554
26.7154,4326.2436
26.6539,4332.2435
26.6531,4338.3316
26.6522,4344.4198
26.5908,4350.4196
26.5899,4356.5078
26.5285,4362.5077
26.5276,4368.5958
26.4663,4374.5957
